  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:47:05     16.94     96.98     59.35     47.71
13:47:06     15.19     95.35     59.56     47.91
13:47:07     13.56     95.02     59.46     47.94
13:47:08     12.07     93.87     58.90     47.36
13:47:09     11.76     93.58     58.41     46.98
13:47:10     14.75     94.40     58.84     47.36
13:47:11     12.82     93.38     58.69     47.27
13:47:12     13.05     92.95     58.04     46.66
13:47:13     13.34     92.75     58.25     46.86
13:47:14     13.31     92.44     57.59     46.20
13:47:15     13.16     91.85     57.33     46.20
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:47:16     13.88     90.62     56.88     45.76
13:47:17     14.78     91.24     57.30     46.08
13:47:18     14.62     92.81     58.31     46.92
13:47:19     14.25     92.83     58.19     46.66
13:47:20     13.02     93.66     58.77     47.27
13:47:21     13.54     93.30     58.33     47.01
13:47:22     15.66     95.15     58.61     47.13
13:47:23     14.01     93.98     58.25     46.86
13:47:24     11.86     89.17     58.24     46.90
13:47:25     14.27     92.75     58.33     46.93
13:47:26     13.00     92.97     58.19     46.78
13:47:27     12.63     82.12     57.94     47.01
13:47:28     13.09     93.09     58.41     46.86
13:47:29     13.75     92.51     57.77     46.55
13:47:30     16.03     93.95     59.19     47.51
13:47:31     13.85     92.44     57.88     46.66
13:47:32     14.23     93.22     58.32     46.90
13:47:33     13.44     93.67     58.83     47.33
13:47:34     15.52     92.26     58.55     47.13
13:47:35     13.40     93.47     58.75     47.27
13:47:36     14.24     92.91     58.19     46.78
13:47:37     11.97     91.85     58.39     46.90
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:47:38     12.78     92.87     58.45     47.04
13:47:39     14.24     92.63     58.17     46.90
13:47:40     12.21     92.65     58.06     46.69
13:47:41     13.66     93.58     58.61     47.13
13:47:42     14.47     93.73     59.28     47.59
13:47:43     12.19     94.01     58.75     47.36
13:47:44     15.50     92.86     58.60     47.04
13:47:45     13.63     95.09     59.50     47.85
13:47:46     13.56     93.19     58.46     47.13
13:47:47     12.27     93.47     58.61     47.13
13:47:48     12.68     93.17     58.59     47.13
13:47:49     12.60     93.20     58.27     46.86
13:47:50     12.93     92.97     58.48     46.93
13:47:51     12.65     93.67     58.61     47.13
13:47:52     11.51     92.53     58.02     46.78
13:47:53     12.83     91.96     57.61     46.20
13:47:54     12.51     91.98     57.54     46.28
13:47:55     12.42     93.03     58.17     46.90
13:47:56     13.15     94.11     59.22     47.62
13:47:57     12.09     93.62     59.01     47.48
13:47:58     13.54     94.85     59.59     47.94
13:47:59     13.23     94.53     60.56     48.60
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:48:00     13.16     92.18     57.48     46.32
13:48:01     12.30     93.44     58.60     47.16
13:48:02     14.05     94.88     59.30     47.71
13:48:03     18.46     95.63     59.48     47.71
13:48:04     13.83     96.05     60.59     48.87
13:48:05     14.64     94.52     59.52     47.71
13:48:06     14.42     91.48     57.59     46.46
13:48:07     15.41     91.30     57.03     45.85
13:48:08     13.28     90.87     56.76     45.62
13:48:09     12.97     91.01     56.88     45.73
13:48:10     14.33     91.38     57.27     46.04
13:48:11     13.23     92.20     57.74     46.43
13:48:12     14.01     92.69     58.19     46.80
13:48:13     14.28     92.68     58.03     46.66
13:48:14     13.58     91.76     57.48     46.20
13:48:15     13.36     93.66     58.74     47.24
13:48:16     13.21     92.70     58.36     46.97
13:48:17     13.38     93.72     58.63     47.01
13:48:18     13.06     94.98     59.50     47.97
13:48:19     14.37     95.97     59.90     48.17
13:48:20     13.10     92.65     57.79     46.31
13:48:21     15.01     94.85     59.72     48.17
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:48:22     14.87     95.39     59.91     48.13
13:48:23     14.89     94.96     59.77     48.08
13:48:24     14.27     94.67     59.21     47.59
13:48:25     12.85     92.47     57.90     46.43
13:48:26     13.97     92.29     57.88     46.54
13:48:27     14.14     91.41     57.59     46.43
13:48:28     13.76     95.69     60.24     48.48
13:48:29     15.44     95.08     59.71     47.90
13:48:30     15.46     96.25     60.19     48.52
13:48:31     13.78     94.88     59.34     47.70
13:48:32     13.60     91.82     58.19     46.78
13:48:33     12.69     94.73     57.96     46.51
13:48:34     14.80     93.04     57.46     46.32
13:48:35     14.21     90.88     57.25     46.05
13:48:36     13.72     92.87     58.44     47.01
13:48:37     16.03     95.10     59.48     47.82
13:48:38     14.80     95.16     59.63     47.94
13:48:39     15.91     95.06     59.83     48.02
13:48:40     15.72     98.07     59.61     48.06
13:48:41     13.63     94.10     59.22     47.51
13:48:42     12.78     94.77     59.32     47.82
13:48:43     13.77     93.47     58.48     47.01
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:48:44     13.77     94.79     59.32     47.71
13:48:45     12.91     95.64     60.14     48.37
13:48:46     14.11     94.42     59.70     48.06
13:48:47     14.09     95.86     60.35     48.55
13:48:48     12.57     95.51     59.90     48.17
13:48:49     13.27     95.35     59.90     48.06
13:48:50     12.50     94.50     59.46     47.83
13:48:51     14.64     94.08     58.75     47.36
13:48:52     15.68     95.07     58.52     46.98
13:48:53     15.30     94.97     59.27     47.85
13:48:54     15.01     92.89     58.19     46.78
13:48:55     14.61     92.12     58.01     46.66
13:48:56     12.65     91.32     57.30     45.96
13:48:57     13.16     91.11     57.32     46.19
13:48:58     14.04     91.94     58.02     46.51
13:48:59     13.35     92.57     58.19     46.81
13:49:00     14.38     88.19     58.16     46.89
13:49:01     13.41     78.51     58.32     46.89
13:49:02     12.77     85.94     57.45     46.20
13:49:03     14.45     93.65     58.61     47.01
13:49:04     13.43     93.52     58.67     47.32
13:49:05     13.47     93.14     58.53     47.15
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:49:06     14.29     93.37     58.47     47.01
13:49:07     13.75     93.46     58.41     46.97
13:49:08     12.88     92.44     58.03     46.54
13:49:09     14.97     92.65     57.74     46.54
13:49:10     14.72     93.20     58.82     47.21
13:49:11     12.43     87.80     54.85     44.35
13:49:12     15.42     92.46     57.97     46.64
13:49:13     14.95     93.19     58.45     47.01
13:49:14     13.66     92.83     58.16     46.78
13:49:15     14.89     91.99     57.74     46.43
13:49:16     13.19     93.43     58.45     47.01
13:49:17     14.02     93.71     58.69     47.20
13:49:18     14.92     93.38     58.56     47.09
13:49:19     15.77     93.21     59.12     47.47
13:49:20     15.08     94.84     59.32     47.82
13:49:21     14.14     94.73     59.47     47.82
13:49:22     14.04     92.86     58.43     47.01
13:49:23     13.20     91.13     58.20     46.74
13:49:24     14.83     93.84     59.32     47.76
13:49:25     12.97     94.55     59.45     47.94
13:49:26     13.78     93.47     59.28     47.59
13:49:27     14.46     94.78     59.19     47.70
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:49:28     12.06     95.03     59.61     47.82
13:49:29     13.24     93.76     59.14     47.70
13:49:30     13.58     94.80     59.69     47.90
13:49:31     13.95     95.06     59.53     48.08
13:49:32     14.10     89.79     56.83     45.50
13:49:33     11.43     93.36     58.32     47.01
13:49:34     13.04     92.46     58.03     46.66
13:49:35     13.16     91.31     57.16     45.96
13:49:36     14.20     92.16     57.87     46.43
13:49:37     13.44     92.53     57.88     46.54
13:49:38     13.26     93.43     59.43     47.97
13:49:39     13.38     94.06     59.70     47.94
13:49:40     11.90     93.31     58.32     46.89
13:49:41     13.30     93.34     58.32     47.01
13:49:42     13.02     93.08     58.47     46.89
13:49:43     13.71     93.37     58.73     47.39
13:49:44     12.96     93.93     59.17     47.62
13:49:45     12.75     94.16     59.05     47.36
13:49:46     12.78     91.92     57.57     46.43
13:49:47     12.79     92.89     58.19     46.78
13:49:48     12.51     92.08     57.72     46.43
13:49:49     14.02     95.18     59.89     48.17
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:49:50     13.18     95.83     60.24     48.48
13:49:51     14.41     95.96     60.34     48.55
13:49:52     11.83     94.95     59.90     48.05
13:49:53     12.82     93.86     58.88     47.47
13:49:54     11.92     93.29     58.45     46.89
13:49:55     12.07     92.51     57.90     46.66
13:49:56     12.01     93.52     58.61     47.01
13:49:57     14.58     92.86     58.31     46.92
13:49:58     13.84     93.46     58.61     47.27
13:49:59     14.69     94.76     58.45     47.01
13:50:00     13.23     92.25     57.90     46.43
13:50:01     14.82     93.62     58.74     47.24
13:50:02     13.39     94.56     58.59     47.13
13:50:03     14.18     93.23     58.60     47.09
13:50:04     12.53     93.98     59.14     47.70
13:50:05     14.74     94.59     59.67     48.08
13:50:06     14.77     94.71     59.48     47.71
13:50:07     13.89     92.69     59.10     47.59
13:50:08     13.48     96.02     60.05     48.40
13:50:09     14.45     95.88     60.05     48.28
13:50:10     13.47     95.48     59.84     48.13
13:50:11     13.75     95.47     59.90     48.17
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:50:12     13.97     95.03     59.82     48.13
13:50:13     17.18     97.07     59.72     47.94
13:50:14     13.33     95.31     59.61     48.05
13:50:15     14.86     94.61     59.47     47.70
13:50:16     12.95     94.75     59.36     47.74
13:50:17     15.00     95.60     59.15     47.67
13:50:18     13.21     94.79     58.88     47.36
13:50:19     12.93     94.40     59.61     47.97
13:50:20     12.79     94.56     59.59     47.94
13:50:21     12.48     93.32     58.45     47.01
13:50:22     12.37     92.89     58.32     46.89
13:50:23     13.72     93.65     58.88     47.36
13:50:24     14.48     96.47     60.47     48.63
13:50:25     15.92     94.23     59.31     47.73
13:50:26     13.27     94.58     59.48     47.85
13:50:27     14.75     94.08     59.03     47.47
13:50:28     14.10     94.61     59.19     47.59
13:50:29     15.13     94.17     59.16     47.59
13:50:30     13.30     93.90     58.74     47.24
13:50:31     14.17     94.73     59.61     47.82
13:50:32     14.63     92.99     58.84     47.44
13:50:33     14.07     93.03     59.12     47.47
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:50:34     13.26     94.00     59.18     47.73
13:50:35     12.99     95.35     60.01     48.29
13:50:36     13.93     95.97     60.72     48.86
13:50:37     13.69     95.22     60.16     48.28
13:50:38     11.84     94.41     58.90     47.47
13:50:39     12.71     93.80     59.51     47.90
13:50:40     13.25     94.47     59.72     47.94
13:50:41     13.46     93.63     59.30     47.85
13:50:42     13.80     94.96     59.61     47.94
13:50:43     13.74     94.85     59.32     47.70
13:50:44     14.26     94.51     59.59     47.94
13:50:45     11.78     93.21     58.45     47.01
13:50:46     13.76     94.16     59.53     47.79
13:50:47     12.03     92.97     58.32     47.01
13:50:48     12.20     93.93     58.90     47.38
13:50:49     11.85     91.52     58.52     47.12
13:50:50     13.29     94.12     58.90     47.36
13:50:51     12.66     92.90     58.84     47.36
13:50:52     13.16     94.11     59.30     47.71
13:50:53     13.73     93.85     58.90     47.36
13:50:54     14.62     95.30     59.69     48.02
13:50:55     14.00     95.14     59.76     48.05
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:50:56     14.46     94.57     59.80     48.08
13:50:57     14.41     93.81     58.87     47.36
13:50:58     13.51     93.99     58.61     47.24
13:50:59     14.08     95.74     58.61     47.01
13:51:00     13.99     93.18     58.18     46.89
13:51:01     12.85     92.94     58.24     46.86
13:51:02     12.78     92.89     58.32     46.78
13:51:03     13.44     93.15     58.53     47.09
13:51:04     13.33     93.19     58.18     46.89
13:51:05     13.39     92.32     57.88     46.54
13:51:06     13.33     94.37     59.03     47.47
13:51:07     12.16     93.21     58.32     46.89
13:51:08     12.90     92.92     58.72     47.24
13:51:09     12.94     93.69     58.69     47.21
13:51:10     13.40     92.76     58.16     46.78
13:51:11     12.55     92.55     58.03     46.69
13:51:12     13.95     93.00     58.32     46.78
13:51:13     12.01     93.47     58.32     47.01
13:51:14     13.06     93.79     58.76     47.24
13:51:15     13.56     91.96     57.60     46.32
13:51:16     12.61     93.69     58.56     47.09
13:51:17     12.88     93.46     58.45     47.01
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:51:18     13.51     94.42     59.48     47.85
13:51:19     13.28     94.37     58.90     47.36
13:51:20     13.43     93.65     58.61     47.12
13:51:21     12.62     93.74     58.90     47.36
13:51:22     13.18     93.00     58.16     46.78
13:51:23     11.52     89.69     56.16     45.15
13:51:24     14.98     93.95     58.58     46.97
13:51:25     12.78     94.05     58.56     47.24
13:51:26     12.37     93.67     58.63     47.15
13:51:27     13.06     93.90     58.74     47.24
13:51:28     12.80     92.92     58.32     46.77
13:51:29     13.13     93.49     58.45     47.12
13:51:30     13.38     92.39     57.90     46.54
13:51:31     12.96     92.98     58.16     46.78
13:51:32     13.46     92.29     57.82     46.51
13:51:33     11.57     90.97     57.56     46.19
13:51:34     14.71     93.11     58.25     47.04
13:51:35     12.66     92.82     58.19     46.78
13:51:36     14.03     92.61     58.70     47.24
13:51:37     12.28     93.15     58.45     47.01
13:51:38     12.85     93.01     58.43     47.01
13:51:39     12.56     91.99     57.61     46.20
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:51:40     13.47     93.16     58.53     47.09
13:51:41     13.65     95.00     58.32     46.89
13:51:42     15.33     93.13     57.98     46.69
13:51:43     14.23     92.22     57.74     46.43
13:51:44     13.21     93.30     58.30     47.01
13:51:45     11.71     92.12     57.74     46.31
13:51:46     14.63     93.31     58.32     47.01
13:51:47     12.08     92.47     58.16     46.66
13:51:48     15.26     95.90     58.27     46.86
13:51:49     11.90     93.25     58.59     47.24
13:51:50     14.54     92.74     58.18     46.80
13:51:51     13.91     92.69     57.88     46.54
13:51:52     12.82     92.25     57.88     46.54
13:51:53     13.51     92.77     58.19     46.66
13:51:54     13.60     94.56     59.32     47.70
13:51:55     13.90     92.72     58.41     47.12
13:51:56     13.69     91.35     58.11     46.81
13:51:57     12.90     91.48     58.12     46.78
13:51:58     13.48     92.56     58.30     46.92
13:51:59     13.79     93.31     58.47     47.01
13:52:00     14.26     93.20     58.32     46.78
13:52:01     15.40     90.34     56.45     45.50
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:52:02     14.03     93.52     58.74     47.12
13:52:03     15.68     94.91     59.45     47.94
13:52:04     13.54     94.89     59.56     47.90
13:52:05     15.74     94.13     59.03     47.36
13:52:06     13.62     94.17     59.19     47.73
13:52:07     14.39     94.82     59.59     47.82
13:52:08     14.03     94.41     59.32     47.70
13:52:09     14.73     94.84     59.61     47.94
13:52:10     13.75     95.08     59.45     47.94
13:52:11     13.77     94.50     59.32     47.70
13:52:12     14.43     95.08     59.69     48.02
13:52:13     13.65     93.78     59.83     48.17
13:52:14     13.29     95.51     60.24     48.48
13:52:15     14.62     94.57     60.12     48.40
13:52:16     13.67     95.48     60.03     48.28
13:52:17     13.81     93.16     58.85     47.24
13:52:18     13.79     93.79     58.88     47.47
13:52:19     13.57     92.79     58.16     46.66
13:52:20     14.96     92.88     58.18     46.86
13:52:21     13.69     93.24     58.47     47.01
13:52:22     13.20     93.14     58.40     46.97
13:52:23     11.97     93.03     58.32     46.78
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:52:24     14.71     92.89     58.03     46.78
13:52:25     13.26     94.33     59.03     47.47
13:52:26     13.20     90.67     57.01     45.73
13:52:27     12.96     93.19     58.32     47.01
13:52:28     12.00     92.57     58.11     46.74
13:52:29     12.14     92.69     58.03     46.54
13:52:30     13.02     92.69     58.16     46.78
13:52:31     12.43     92.95     58.38     47.15
13:52:32     13.86     93.16     58.32     46.89
13:52:33     12.15     93.22     58.32     46.89
13:52:34     14.77     92.41     58.16     46.66
13:52:35     12.21     92.57     58.03     46.66
13:52:36     13.33     92.48     58.03     46.66
13:52:37     13.79     93.39     58.60     47.09
13:52:38     13.50     93.16     58.19     46.78
13:52:39     14.68     93.15     58.61     47.15
13:52:40     13.10     92.88     58.16     46.78
13:52:41     15.23     93.67     58.61     47.12
13:52:42     14.85     94.25     59.03     47.59
13:52:43     13.31     93.30     58.61     47.12
13:52:44     14.41     92.71     58.03     46.66
13:52:45     13.68     93.58     58.67     47.20
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:52:46     12.85     92.67     58.45     46.89
13:52:47     13.22     93.38     58.40     47.09
13:52:48     13.97     92.73     58.03     46.66
13:52:49     12.44     93.72     58.74     47.12
13:52:50     14.50     93.68     58.74     47.24
13:52:51     13.50     93.67     58.74     47.24
13:52:52     13.69     94.98     58.47     47.12
13:52:53     13.73     94.39     58.45     46.89
13:52:54     13.05     93.16     58.38     47.09
13:52:55     13.39     92.46     58.03     46.54
13:52:56     14.18     93.08     58.32     47.04
13:52:57     13.30     94.54     59.19     47.59
13:52:58     13.81     92.45     57.90     46.54
13:52:59     12.19     93.07     58.30     46.89
13:53:00     14.18     92.19     57.74     46.43
13:53:01     11.92     91.98     57.87     46.54
13:53:02     12.68     92.06     57.87     46.51
13:53:03     11.97     92.01     57.88     46.43
13:53:04     13.48     92.29     57.90     46.69
13:53:05     13.92     92.53     57.88     46.55
13:53:06     12.82     92.42     58.03     46.54
13:53:07     12.48     93.68     58.48     47.13
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:53:08     13.18     93.62     58.88     47.24
13:53:09     14.26     94.92     59.59     48.05
13:53:10     14.28     94.50     59.18     47.59
13:53:11     12.93     94.21     59.38     47.79
13:53:12     14.53     95.22     58.59     47.12
13:53:13     14.05     93.72     58.81     47.33
13:53:14     15.19     94.20     59.32     47.59
13:53:15     13.70     94.25     59.03     47.47
13:53:16     14.22     94.13     59.30     47.82
13:53:17     15.73     94.34     59.43     47.82
13:53:18     12.94     94.40     59.19     47.47
13:53:19     13.72     95.04     59.59     48.05
13:53:20     13.51     94.54     59.53     47.90
13:53:21     13.77     93.82     59.43     47.82
13:53:22     13.65     94.55     59.27     47.55
13:53:23     12.11     92.71     58.97     47.47
13:53:24     14.73     87.53     59.30     47.70
13:53:25     14.82     95.01     59.32     47.70
13:53:26     14.58     92.54     58.30     47.01
13:53:27     14.25     94.08     59.70     47.94
13:53:28     13.41     94.13     59.03     47.47
13:53:29     15.39     93.90     59.22     47.79
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:53:30     13.45     94.21     59.50     47.88
13:53:31     14.84     93.97     59.05     47.36
13:53:32     14.21     92.23     58.28     46.89
13:53:33     13.95     93.22     58.30     47.01
13:53:34     14.15     93.39     58.48     47.01
13:53:35     12.57     92.70     58.03     46.66
13:53:36     14.41     94.11     59.43     47.82
13:53:37     13.24     93.55     58.75     47.26
13:53:38     14.27     92.65     58.51     47.09
13:53:39     13.49     86.57     58.69     47.09
13:53:40     13.84     93.02     58.32     47.01
13:53:41     14.86     93.20     58.32     46.89
13:53:42     12.18     92.52     58.03     46.54
13:53:43     14.83     92.87     58.30     46.89
13:53:44     13.35     94.81     59.32     47.82
13:53:45     14.80     93.78     59.03     47.36
13:53:46     14.93     94.23     58.90     47.47
13:53:47     12.55     95.41     59.70     48.02
13:53:48     15.45     94.30     59.61     47.97
13:53:49     14.51     94.50     59.32     47.70
13:53:50     15.66     94.83     59.32     47.70
13:53:51     14.44     95.06     59.53     47.86
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:53:52     14.31     93.43     59.14     47.47
13:53:53     16.53     94.87     59.45     47.94
13:53:54     13.96     92.87     59.39     47.82
13:53:55     14.09     94.14     59.43     47.82
13:53:56     15.34     95.43     59.98     48.25
13:53:57     15.94     92.67     58.25     46.81
13:53:58     16.02     92.33     57.62     46.45
13:53:59     13.31     92.44     58.30     46.78
13:54:00     13.17     93.21     58.45     47.12
13:54:01     13.86     93.17     58.45     47.01
13:54:02     14.53     93.48     58.61     47.01
13:54:03     12.89     93.15     58.16     46.89
13:54:04     14.01     92.28     57.90     46.43
13:54:05     15.11     92.49     58.02     46.80
13:54:06     13.18     92.85     58.46     47.04
13:54:07     14.37     93.36     58.47     46.89
13:54:08     14.02     94.09     58.74     47.36
13:54:09     13.64     93.36     58.47     46.89
13:54:10     14.21     93.22     58.32     47.01
13:54:11     12.90     92.59     58.01     46.66
